================================================================================
SECTOR SPLIT SUMMARY
================================================================================

Total records in dataset: 2,456,350
Number of sectors: 1135

Summary by sector:

                                       sector_name  num_companies  percentage
22_bureaux_au_japon_et_108_autres_repartis_dans_65              1        0.00
      installations_et_des_services_de_ventilation              1        0.00
                                   parc_de_loisirs              1        0.00
   services_en_transaction_conseil_expertise_et_en              1        0.00
                            energies_renovuelables              1        0.00
                       constructeur_davions_prives              1        0.00
          jeu_de_societe_base_sur_le_combat_aerien              1        0.00
  ingenierie_specialisee_dans_les_secteurs_de_loil              1        0.00
                                          assureur              1        0.00
marketplace_americaine_qui_permet_de_vendre_des_ve              1        0.00
                        fabricant_de_tiltrotateurs              1        0.00
fabricant_de_clignotants_et_autres_signatures_lumi              1        0.00
                                     offre_demploi              1        0.00
 entretien_reparation_vehicules_automobiles_notamm              1        0.00
      bar_licence_iv_bar_licence_iv_restauration_d              1        0.00
etude_conception_realisation_dans_les_domaines_ele              1        0.00
toutes_prestations_de_services_dans_les_domaines_d              1        0.00
                                   groupe_michelin              1        0.00
              creation_de_solutions_audiovisuelles              1        0.00
                     maquillage_et_mode_life_style              1        0.00
vetement_de_travail_haut_de_gamme_dans_les_pays_ba              1        0.00
   la_prise_de_participation_par_voie_dapport_dach              1        0.00
agence_specialisee_dans_le_branding_et_design_pack              1        0.00
                      developpement_de_processeurs              1        0.00
            bureau_detudes_de_conception_paysagere              1        0.00
            ingredients_cerealiers_et_legumineuses              1        0.00
        operateur_immobilier_et_investment_manager              1        0.00
principal_fournisseur_de_services_routiers_du_roya              1        0.00
                                repeinture_davions              1        0.00
entreprise_americaine_proposant_des_solutions_conn              1        0.00
  bureau_detudes_specialise_dans_lingenierie_aerop              1        0.00
                                           solaire              1        0.00
                                         fondation              1        0.00
                    lidar_doppler_pulse_a_balayage              1        0.00
  fonds_dinvestissement_et_accompagnement_de_start              1        0.00
           actionnaire_de_reference_de_grand_frais              1        0.00
  amenagements_terresparcs_et_jardins_services_aux              1        0.00
 branche_denergies_renouvelables_du_groupe_espagno              1        0.00
distributeur_independant_de_semences_florales_et_p              1        0.00
              voir_objet_social_services_marchands              1        0.00
   etude_realisation_installation_de_materiels_din              1        0.00
               reproduction_denregistrements_video              1        0.00
   mecanique_automobilerep_location_de_biens_immob              1        0.00
                velo_en_libre_service_sans_station              1        0.00
                                  caisses_depargne              1        0.00
                                groupe_energetique              1        0.00
                        family_office_singapourien              1        0.00
  compagnie_aerienne_autrichienne_filiale_du_group              1        0.00
fonds_dedie_a_la_protection_des_ressources_naturel              1        0.00
                       specialiste_de_lhebergement              1        0.00
       application_de_garde_denfants_collaborative              1        0.00
                          habillement_groupe_kiabi              1        0.00
   reprographie_blanchisserie_teinturerie_de_detai              1        0.00
              idem_objet_social_services_marchands              1        0.00
                           restauration_collective              1        0.00
      entreprise_californienne_rd_a_paris_75_devel              1        0.00
                 pisciculture_alimentation_animale              1        0.00
 application_de_transfert_dargent_entre_particulie              1        0.00
   lassistance_a_la_gestion_dentreprises_a_la_gest              1        0.00
                                 recherche_demploi              1        0.00
                                          saladbar              1        0.00
                           production_televisuelle              1        0.00
   scooters_en_libre_service_sous_la_marque_scooty              1        0.00
                                      club_sportif              1        0.00
                          gestionnaire_de_parkings              1        0.00
                       production_de_vins_mousseux              1        0.00
 entreprise_publique_de_gestion_des_chemins_de_fer              1        0.00
                        concessionnaire_automobile              1        0.00
                                           camping              1        0.00
                                        reassureur              1        0.00
                       services_biopharmaceutiques              1        0.00
                           outils_de_developpement              1        0.00
 agence_publique_de_la_republique_dirlande_en_char              1        0.00
                   location_de_materiel_delevation              1        0.00
                    missions_spatiales_a_bas_couts              1        0.00
               agence_independante_de_social_media              1        0.00
          centres_medicaux_et_sociaux_dispensaires              1        0.00
                distributeur_btob_pour_le_nautisme              1        0.00
        radiomarquage_et_decouverte_de_medicaments              1        0.00
                                           creches              1        0.00
plateforme_de_mise_en_relation_entre_les_entrepris              1        0.00
                 fabriquant_de_pelouse_synthetique              1        0.00
   chambres_dhotes_locations_non_meublees_chambres              1        0.00
                                             musee              1        0.00
  graphisme_impression_services_marketing_et_commu              1        0.00
prestataire_de_metrologie_dedie_aux_sciences_de_la              1        0.00
     developpement_de_drones_a_usage_professionnel              1        0.00
                                  service_agricole              1        0.00
                                         volailler              1        0.00
  investissement_promotion_et_gestion_dactifs_immo              1        0.00
          numero_1_mondial_des_jantes_en_aluminium              1        0.00
   china_national_fisheries_corporation_societe_de              1        0.00
                          compagnie_aerienne_cargo              1        0.00
              imprimeur_specialise_en_heliogravure              1        0.00
organisation_intergouvernementale_thematique_conce              1        0.00
                  gestion_portuaire_au_royaume_uni              1        0.00
systemes_de_bibliotheque_integres_pour_les_bibliot              1        0.00
                        reseau_de_soins_a_domicile              1        0.00
  tokyo_electric_power_company_operateur_energetiq              1        0.00
gestion_portuaire_des_conteneurs_au_port_de_hambou              1        0.00
                       production_denergie_solaire              1        0.00
                                production_de_talc              1        0.00
                        revalorisation_energetique              1        0.00
                          consulting_reglementaire              1        0.00
         creation_de_fragrances_pour_la_parfumerie              1        0.00
                              alimentation_animale              1        0.00
 systemes_dalimentation_electrique_par_jeux_de_bar              1        0.00
   dematerialisation_des_documents_et_des_factures              1        0.00
 moteur_dacceleration_du_stockage_universel_pour_l              1        0.00
             conseil_en_management_et_organisation              1        0.00
                          realisation_dinventaires              1        0.00
                                 hors_nomenclature              1        0.00
                        sciage_et_rabotage_du_bois              1        0.00
         grossiste_en_pieces_detachees_automobiles              1        0.00
                          equipementier_automobile              1        0.00
                           conseils_en_recrutement              1        0.00
                                       distillerie              1        0.00
    fonds_dinvestissement_axe_sur_le_domaine_vegan              1        0.00
location_de_container_frigorifique_et_chambre_froi              1        0.00
                         groupe_helvetico_saoudien              1        0.00
